Game;Team;Player;#;Nation;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ
Newcastle United vs. Paris Saint-Germain;Newcastle Utd;Sean Longstaff;36;eng ENG;RM,CM;25-339;90;1;0;0;0;1;1;0;0;40;2;0;4;0.1;0.1;0.0;2;0;24;28;85.7;4;27;0;1;1
Newcastle United vs. Paris Saint-Germain;Newcastle Utd;Dan Burn;33;eng ENG;LB,CB;31-148;90;1;0;0;0;1;1;0;0;40;1;0;1;0.2;0.2;0.0;0;0;21;31;67.7;4;13;0;1;0
Newcastle United vs. Paris Saint-Germain;Newcastle Utd;Fabian Schär;5;ch SUI;CB;31-288;90;1;0;0;0;2;1;0;0;39;2;2;0;0.1;0.1;0.0;2;1;22;28;78.6;2;26;0;0;0
Newcastle United vs. Paris Saint-Germain;Newcastle Utd;Jamaal Lascelles;6;eng ENG;CB;29-327;90;0;0;0;0;0;0;0;0;21;3;0;1;0.0;0.0;0.0;0;0;5;12;41.7;0;8;0;0;0
Newcastle United vs. Paris Saint-Germain;Newcastle Utd;Kieran Trippier;2;eng ENG;RB;33-015;90;0;1;0;0;1;0;0;0;45;1;2;0;0.0;0.0;0.3;4;1;29;39;74.4;2;21;1;0;0
Newcastle United vs. Paris Saint-Germain;Newcastle Utd;Nick Pope;22;eng ENG;GK;31-168;90;0;0;0;0;0;0;1;0;19;0;0;0;0.0;0.0;0.0;0;0;8;18;44.4;0;6;0;0;0
Newcastle United vs. Paris Saint-Germain;Paris S-G;Gonçalo Ramos;9;pt POR;FW;22-106;90;0;0;0;0;2;0;0;0;39;2;0;1;0.1;0.1;0.0;0;0;24;29;82.8;4;30;0;3;0
Newcastle United vs. Paris Saint-Germain;Paris S-G;Randal Kolo Muani;23;fr FRA;LW;24-303;56;0;0;0;0;0;0;0;0;22;1;0;1;0.0;0.0;0.0;0;0;9;15;60.0;2;17;0;3;1
Newcastle United vs. Paris Saint-Germain;Paris S-G;Bradley Barcola;29;fr FRA;LW;21-032;34;0;0;0;0;0;0;0;0;22;1;1;2;0.0;0.0;0.0;2;0;14;17;82.4;4;19;3;4;2
Newcastle United vs. Paris Saint-Germain;Paris S-G;Ousmane Dembélé;10;fr FRA;RW;26-142;90;0;0;0;0;3;1;1;0;69;1;0;2;0.2;0.2;0.0;6;1;46;58;79.3;3;55;9;4;2
Newcastle United vs. Paris Saint-Germain;Paris S-G;Kylian Mbappé;7;fr FRA;AM;24-288;90;0;0;0;0;1;0;0;0;50;0;0;0;0.0;0.0;0.2;3;0;39;44;88.6;6;45;4;1;0
Newcastle United vs. Paris Saint-Germain;Paris S-G;Warren Zaire-Emery;33;fr FRA;DM;17-210;90;0;1;0;0;1;0;1;0;71;0;0;0;0.0;0.0;0.5;4;1;62;68;91.2;11;64;5;0;0
Newcastle United vs. Paris Saint-Germain;Paris S-G;Manuel Ugarte Ribeiro;4;uy URU;DM;22-176;63;0;0;0;0;0;0;0;0;55;3;0;0;0.0;0.0;0.0;0;0;42;48;87.5;2;48;0;0;0
Newcastle United vs. Paris Saint-Germain;Paris S-G;Vitinha;17;pt POR;DM;23-233;27;0;0;0;0;2;0;0;0;35;0;0;0;0.1;0.1;0.0;1;0;30;32;93.8;4;33;0;0;0
Newcastle United vs. Paris Saint-Germain;Paris S-G;Lucas Hernández;21;fr FRA;LB;27-232;90;1;0;0;0;1;1;1;0;82;1;1;1;0.5;0.5;0.0;0;0;67;76;88.2;4;64;5;2;2
Newcastle United vs. Paris Saint-Germain;Paris S-G;Milan Škriniar;37;sk SVK;CB;28-235;90;0;0;0;0;0;0;0;0;93;1;1;0;0.0;0.0;0.0;1;0;83;90;92.2;1;74;0;1;0
Newcastle United vs. Paris Saint-Germain;Paris S-G;Marquinhos;5;br BRA;CB;29-143;90;0;0;0;0;0;0;0;0;96;3;0;1;0.0;0.0;0.0;1;0;82;90;91.1;1;79;0;2;1
Newcastle United vs. Paris Saint-Germain;Paris S-G;Achraf Hakimi;2;ma MAR;RB;24-334;90;0;0;0;0;1;0;1;0;133;1;3;0;0.0;0.0;0.1;3;0;98;123;79.7;10;96;4;2;1
Newcastle United vs. Paris Saint-Germain;Paris S-G;Gianluigi Donnarumma;99;it ITA;GK;24-221;90;0;0;0;0;0;0;0;0;40;0;0;0;0.0;0.0;0.0;1;0;36;37;97.3;0;36;0;0;0
Galatasaray vs. Bayern Munich;Galatasaray;Mauro Icardi;9;ar ARG;FW;30-247;90;1;0;1;1;7;0;0;0;30;1;0;0;1.8;1.0;0.1;5;1;13;17;76.5;1;18;0;1;0
Galatasaray vs. Bayern Munich;Galatasaray;Wilfried Zaha;14;ci CIV;LW,RW;30-348;74;0;0;0;0;1;0;0;0;35;3;0;1;0.0;0.0;0.0;3;1;13;21;61.9;1;30;3;6;1
Galatasaray vs. Bayern Munich;Galatasaray;Hakim Ziyech;22;ma MAR;RW;30-219;16;0;0;0;0;0;0;0;0;9;0;0;0;0.0;0.0;0.0;0;0;3;7;42.9;1;4;1;1;0
Galatasaray vs. Bayern Munich;Galatasaray;Tetê;20;br BRA;RW;23-251;55;0;0;0;0;0;0;1;0;37;3;0;0;0.0;0.0;0.1;3;0;13;24;54.2;2;27;3;7;3
Galatasaray vs. Bayern Munich;Galatasaray;Dries Mertens;10;be BEL;AM;36-171;35;0;0;0;0;0;0;0;0;17;0;1;2;0.0;0.0;0.1;1;0;7;13;53.8;3;6;2;0;0
Galatasaray vs. Bayern Munich;Galatasaray;Kerem Aktürkoğlu;7;tr TUR;AM,LW;25-003;74;0;0;0;0;5;3;0;0;34;0;1;0;0.5;0.5;0.7;5;0;20;26;76.9;4;22;0;1;1
Galatasaray vs. Bayern Munich;Galatasaray;Barış Alper Yılmaz;53;tr TUR;LW;23-154;16;0;0;0;0;0;0;0;0;7;0;0;0;0.0;0.0;0.0;0;0;4;6;66.7;0;6;0;0;0
Galatasaray vs. Bayern Munich;Galatasaray;Lucas Torreira;34;uy URU;DM;27-255;90;0;0;0;0;3;0;0;0;75;3;1;0;0.2;0.2;0.3;5;0;57;63;90.5;9;55;1;4;2
Galatasaray vs. Bayern Munich;Galatasaray;Kaan Ayhan;23;tr TUR;DM;28-348;79;0;0;0;0;1;0;1;0;57;0;0;0;0.0;0.0;0.1;7;0;47;56;83.9;4;43;1;0;0
Galatasaray vs. Bayern Munich;Galatasaray;Tanguy Ndombele;91;fr FRA;DM;26-300;11;0;0;0;0;0;0;0;0;5;0;0;0;0.0;0.0;0.0;0;0;5;5;100.0;0;5;0;1;1
Galatasaray vs. Bayern Munich;Galatasaray;Kazımcan Karataş;88;tr TUR;LB;20-281;74;0;0;0;0;0;0;0;0;40;4;1;0;0.0;0.0;0.0;2;0;24;32;75.0;2;22;0;1;1
Galatasaray vs. Bayern Munich;Galatasaray;Angeliño;3;es ESP;LB;26-293;16;0;0;0;0;0;0;0;0;8;0;0;1;0.0;0.0;0.0;0;0;4;7;57.1;2;4;1;0;0
Galatasaray vs. Bayern Munich;Galatasaray;Abdülkerim Bardakcı;42;tr TUR;CB;29-047;90;0;0;0;0;0;0;0;0;77;4;1;1;0.0;0.0;0.0;0;0;55;65;84.6;12;51;0;0;0
Galatasaray vs. Bayern Munich;Galatasaray;Davinson Sánchez;6;co COL;CB;27-134;90;0;0;0;0;0;0;0;0;76;2;1;2;0.0;0.0;0.0;1;0;60;67;89.6;6;54;3;2;2
Galatasaray vs. Bayern Munich;Galatasaray;Sacha Boey;93;fr FRA;RB;23-041;90;0;0;0;0;2;0;0;0;69;2;3;3;0.1;0.1;0.1;5;0;43;55;78.2;10;41;3;3;1
Galatasaray vs. Bayern Munich;Galatasaray;Fernando Muslera;1;uy URU;GK;37-130;90;0;0;0;0;0;0;0;0;36;1;0;0;0.0;0.0;0.0;0;0;29;32;90.6;0;21;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Harry Kane;9;eng ENG;FW;30-088;82;1;1;0;0;3;2;0;0;34;1;0;0;0.5;0.5;0.2;3;2;16;23;69.6;5;25;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Eric Maxim Choupo-Moting;13;cm CMR;FW;34-215;8;0;0;0;0;1;0;0;0;3;0;0;0;0.3;0.3;0.0;0;0;1;1;100.0;0;3;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Leroy Sané;10;de GER;LW;27-286;90;0;1;0;0;4;2;1;0;42;1;0;0;0.4;0.4;0.5;5;1;24;26;92.3;4;31;7;6;5
Galatasaray vs. Bayern Munich;Bayern Munich;Kingsley Coman;11;fr FRA;RW;27-133;82;1;0;0;0;2;1;0;0;44;0;0;0;0.4;0.4;0.3;3;0;30;38;78.9;6;35;9;6;3
Galatasaray vs. Bayern Munich;Bayern Munich;Mathys Tel;39;fr FRA;RW;18-180;8;0;0;0;0;1;0;0;0;10;0;1;0;0.1;0.1;0.0;2;0;4;6;66.7;0;7;2;3;3
Galatasaray vs. Bayern Munich;Bayern Munich;Jamal Musiala;42;de GER;AM;20-240;90;1;0;0;0;1;1;0;0;47;1;1;1;0.2;0.2;0.3;5;1;31;34;91.2;6;33;3;7;3
Galatasaray vs. Bayern Munich;Bayern Munich;Konrad Laimer;27;at AUT;DM;26-150;90;0;0;0;0;0;0;1;0;47;7;3;2;0.0;0.0;0.0;2;1;27;37;73.0;1;20;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Joshua Kimmich;6;de GER;DM;28-258;90;0;0;0;0;0;0;0;0;80;2;1;3;0.0;0.0;0.4;4;0;59;70;84.3;3;39;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Alphonso Davies;19;ca CAN;LB;22-356;90;0;0;0;0;1;0;1;0;57;3;0;1;0.1;0.1;0.0;0;0;34;42;81.0;0;30;4;7;4
Galatasaray vs. Bayern Munich;Bayern Munich;Kim Min-jae;3;kr KOR;CB;26-343;90;0;0;0;0;0;0;0;0;71;2;2;3;0.0;0.0;0.0;0;0;52;58;89.7;0;37;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Matthijs de Ligt;4;nl NED;CB;24-073;90;0;0;0;0;1;0;0;0;41;1;0;1;0.0;0.0;0.0;0;0;27;32;84.4;0;22;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Noussair Mazraoui;40;ma MAR;RB;25-344;77;0;0;0;0;0;0;0;0;51;3;2;3;0.0;0.0;0.0;2;0;34;39;87.2;3;21;0;1;0
Galatasaray vs. Bayern Munich;Bayern Munich;Bouna Sarr;20;sn SEN;RB;31-266;13;0;0;0;0;0;0;0;0;8;0;1;0;0.0;0.0;0.0;0;0;7;7;100.0;0;6;0;0;0
Galatasaray vs. Bayern Munich;Bayern Munich;Sven Ulreich;26;de GER;GK;35-082;90;0;0;0;0;0;0;0;0;51;0;0;0;0.0;0.0;0.0;0;0;31;46;67.4;0;31;0;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Rasmus Højlund;11;dk DEN;FW;20-262;85;0;0;0;0;3;0;0;0;24;0;0;0;0.3;0.3;0.2;3;0;8;16;50.0;1;13;2;4;1
Manchester United vs. FC Copenhagen;Manchester Utd;Anthony Martial;9;fr FRA;FW;27-323;5;0;0;0;0;0;0;0;0;1;0;0;0;0.0;0.0;0.0;0;0;0;0;;0;1;0;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Marcus Rashford;10;eng ENG;LW,RW;25-358;90;0;0;0;0;3;1;0;0;48;2;1;0;0.1;0.1;0.1;5;0;32;34;94.1;5;28;4;4;1
Manchester United vs. FC Copenhagen;Manchester Utd;Antony;21;br BRA;RW;23-242;62;0;0;0;0;1;0;0;0;35;2;3;0;0.0;0.0;0.0;2;0;21;26;80.8;5;22;1;4;2
Manchester United vs. FC Copenhagen;Manchester Utd;Alejandro Garnacho;17;ar ARG;LW;19-115;28;0;0;0;0;1;1;0;0;19;0;1;0;0.3;0.3;0.0;1;0;8;12;66.7;0;13;2;2;0
Manchester United vs. FC Copenhagen;Manchester Utd;Bruno Fernandes;8;pt POR;AM;29-046;90;0;0;0;0;1;0;1;0;55;4;0;0;0.1;0.1;0.3;6;0;35;45;77.8;8;26;0;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Scott McTominay;39;sct SCO;DM;26-320;90;0;0;0;0;3;0;1;0;49;0;0;2;0.6;0.6;0.3;1;0;30;33;90.9;4;25;2;1;0
Manchester United vs. FC Copenhagen;Manchester Utd;Sofyan Amrabat;4;ma MAR;DM;27-064;45;0;0;0;0;0;0;0;0;32;2;0;1;0.0;0.0;0.0;1;0;24;27;88.9;4;14;0;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Christian Eriksen;14;dk DEN;DM;31-252;45;0;1;0;0;1;1;0;0;36;0;1;0;0.2;0.2;0.2;1;1;27;31;87.1;6;15;0;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Sergio Reguilón;15;es ESP;LB;26-312;62;0;0;0;0;1;1;0;0;66;0;1;3;0.0;0.0;0.1;1;0;43;55;78.2;2;36;1;3;3
Manchester United vs. FC Copenhagen;Manchester Utd;Victor Lindelöf;2;se SWE;LB;29-099;28;0;0;0;0;0;0;0;0;18;0;1;0;0.0;0.0;0.0;0;0;15;16;93.8;1;8;1;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Harry Maguire;5;eng ENG;CB;30-233;90;1;0;0;0;1;1;0;0;87;0;0;1;0.2;0.2;0.0;1;0;71;82;86.6;4;65;2;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Raphaël Varane;19;fr FRA;CB;30-182;90;0;0;0;0;0;0;0;0;102;0;0;3;0.0;0.0;0.0;2;0;84;92;91.3;8;68;2;0;0
Manchester United vs. FC Copenhagen;Manchester Utd;Diogo Dalot;20;pt POR;RB;24-220;90;0;0;0;0;0;0;0;0;61;1;0;2;0.0;0.0;0.0;3;1;42;53;79.2;3;30;4;2;2
Manchester United vs. FC Copenhagen;Manchester Utd;André Onana;24;cm CMR;GK;27-205;90;0;0;0;0;0;0;0;0;34;0;0;0;0.0;0.0;0.0;0;0;20;30;66.7;0;21;0;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Viktor Claesson;7;se SWE;FW;31-295;75;0;0;0;0;1;0;0;0;41;0;0;1;0.1;0.1;0.3;4;0;27;33;81.8;3;19;2;2;1
Manchester United vs. FC Copenhagen;FC Copenhagen;Orri Steinn Óskarsson;18;is ISL;FW;19-056;15;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0;0;0;1;0.0;0;0;0;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Elias Achouri;30;tn TUN;LW;24-256;89;0;0;0;0;3;0;0;0;38;1;0;2;0.1;0.1;0.0;5;0;18;23;78.3;1;22;3;6;3
Manchester United vs. FC Copenhagen;FC Copenhagen;Oscar Højlund;39;dk DEN;LM;18-293;1;0;0;0;0;1;0;0;0;1;0;0;0;0.2;0.2;0.0;1;0;0;0;;0;0;0;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Mohamed Elyounoussi;10;no NOR;RW,LW,LM;29-081;90;0;0;0;0;2;0;0;0;39;2;0;1;0.2;0.2;0.8;10;0;24;30;80.0;3;20;3;2;2
Manchester United vs. FC Copenhagen;FC Copenhagen;Diogo Gonçalves;9;pt POR;LM;26-260;84;0;0;0;0;4;1;0;0;38;0;1;0;0.6;0.6;0.0;4;0;20;32;62.5;1;27;7;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Jordan Larsson;11;se SWE;RW;26-126;6;0;0;0;1;0;0;0;0;3;0;0;0;0.8;0.0;0.0;0;0;0;0;;0;1;0;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Rasmus Falk;33;dk DEN;CM;31-282;90;0;0;0;0;0;0;0;0;76;4;1;0;0.0;0.0;0.0;0;0;57;64;89.1;5;46;0;3;2
Manchester United vs. FC Copenhagen;FC Copenhagen;Lukas Lerager;12;dk DEN;RM;30-104;90;0;0;0;0;1;1;0;0;45;0;1;1;0.1;0.1;0.0;2;0;31;38;81.6;3;28;0;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Elias Jelert;19;dk DEN;LB;20-134;76;0;0;0;0;0;0;0;0;51;3;0;2;0.0;0.0;0.0;0;0;32;36;88.9;4;23;3;2;1
Manchester United vs. FC Copenhagen;FC Copenhagen;Christian Sørensen;6;dk DEN;LB;31-079;14;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.1;1;0;9;11;81.8;2;6;0;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Kevin Diks;2;nl NED;CB;27-018;90;0;0;0;0;1;0;0;0;81;1;1;1;0.0;0.0;0.0;1;0;70;74;94.6;4;59;0;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Denis Vavro;3;sk SVK;CB;27-197;90;0;0;0;0;1;1;0;0;103;1;2;1;0.0;0.0;0.0;0;0;75;90;83.3;5;65;1;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Peter Ankersen;22;dk DEN;RB;33-032;90;0;0;0;0;1;0;0;0;80;5;0;1;0.0;0.0;0.0;0;0;54;68;79.4;0;49;2;0;0
Manchester United vs. FC Copenhagen;FC Copenhagen;Kamil Grabara;1;pl POL;GK;24-289;90;0;0;0;0;0;0;0;0;48;0;0;0;0.0;0.0;0.0;0;0;30;46;65.2;0;24;0;0;0
Manchester City vs. Young Boys;Manchester City;Erling Haaland;9;no NOR;FW;23-109;60;2;0;1;1;3;2;0;0;13;0;0;0;1.2;0.4;0.0;1;0;4;7;57.1;0;9;2;0;0
Manchester City vs. Young Boys;Manchester City;Oscar Bobb;52;no NOR;FW;20-118;30;0;0;0;0;0;0;0;0;12;0;0;0;0.0;0.0;0.0;6;0;11;11;100.0;1;9;1;2;1
Manchester City vs. Young Boys;Manchester City;Jack Grealish;10;eng ENG;LW,CM;28-058;90;0;1;0;0;3;1;0;0;54;2;0;1;0.4;0.4;1.0;8;1;40;46;87.0;6;40;7;1;0
Manchester City vs. Young Boys;Manchester City;Phil Foden;47;eng ENG;RW;23-163;90;1;0;0;0;6;3;0;0;66;0;0;2;0.5;0.5;0.1;6;2;39;51;76.5;5;43;7;3;3
Manchester City vs. Young Boys;Manchester City;Mateo Kovačić;8;hr CRO;CM;29-185;79;0;0;0;0;2;0;0;0;62;0;2;0;0.1;0.1;0.1;3;0;45;54;83.3;3;40;4;1;0
Manchester City vs. Young Boys;Manchester City;Jeremy Doku;11;be BEL;LW;21-164;11;0;0;0;0;1;1;0;0;13;1;0;0;0.0;0.0;0.2;3;0;9;11;81.8;0;12;4;6;6
Manchester City vs. Young Boys;Manchester City;Matheus Nunes;27;pt POR;CM;25-072;90;0;0;0;0;4;0;0;0;97;3;0;0;0.6;0.6;0.1;7;1;74;83;89.2;6;60;6;4;1
Manchester City vs. Young Boys;Manchester City;John Stones;5;eng ENG;DM;29-163;45;0;0;0;0;1;0;0;0;53;1;0;0;0.0;0.0;0.0;1;0;45;48;93.8;4;35;0;0;0
Manchester City vs. Young Boys;Manchester City;Nathan Aké;6;nl NED;DM;28-262;45;0;0;0;0;0;0;0;0;33;1;0;1;0.0;0.0;0.0;2;0;32;32;100.0;2;25;1;0;0
Manchester City vs. Young Boys;Manchester City;Rico Lewis;82;eng ENG;DM,RB;18-351;90;0;1;0;0;1;0;0;0;61;0;0;1;0.3;0.3;0.4;7;2;50;54;92.6;6;44;4;1;0
Manchester City vs. Young Boys;Manchester City;Joško Gvardiol;24;hr CRO;LB;21-288;90;0;0;0;0;1;0;0;0;81;1;0;1;0.1;0.1;0.0;3;0;73;77;94.8;10;63;4;1;1
Manchester City vs. Young Boys;Manchester City;Rúben Dias;3;pt POR;CB;26-177;90;0;0;0;0;0;0;0;0;138;3;1;1;0.0;0.0;0.0;3;0;128;130;98.5;4;97;1;0;0
Manchester City vs. Young Boys;Manchester City;Kyle Walker;2;eng ENG;RB;33-163;60;0;0;0;0;1;1;0;0;86;0;0;0;0.2;0.2;0.0;2;0;74;84;88.1;8;64;1;1;1
Manchester City vs. Young Boys;Manchester City;Kalvin Phillips;4;eng ENG;DM;27-340;30;0;0;0;0;3;0;0;0;33;0;0;0;0.1;0.1;0.0;0;0;24;26;92.3;3;18;0;0;0
Manchester City vs. Young Boys;Manchester City;Ederson;31;br BRA;GK;30-082;90;0;0;0;0;0;0;0;0;36;0;0;0;0.0;0.0;0.0;0;0;36;36;100.0;0;30;0;0;0
Manchester City vs. Young Boys;Young Boys;Cedric Itten;9;ch SUI;FW;26-315;64;0;0;0;0;0;0;0;0;16;0;0;0;0.0;0.0;0.0;0;0;8;12;66.7;1;9;0;2;0
Manchester City vs. Young Boys;Young Boys;Miguel Chaiwa;14;zm ZAM;DF;19-214;26;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;
Manchester City vs. Young Boys;Young Boys;Filip Ugrinic;7;ch SUI;LM,CM;24-306;87;0;0;0;0;0;0;0;0;32;1;0;3;0.0;0.0;0.0;0;0;25;27;92.6;3;16;0;1;1
Manchester City vs. Young Boys;Young Boys;Darian Males;39;ch SUI;CM;22-188;3;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0;0;1;1;100.0;0;0;0;0;0
Manchester City vs. Young Boys;Young Boys;Sandro Lauper;30;ch SUI;CM;27-013;52;0;0;0;0;0;0;2;1;23;3;1;2;0.0;0.0;0.0;0;0;11;14;78.6;0;13;1;1;0
Manchester City vs. Young Boys;Young Boys;Cheikh Niasse;20;sn SEN;CM;23-292;90;0;0;0;0;0;0;0;0;42;1;4;3;0.0;0.0;0.0;0;0;23;30;76.7;1;31;1;0;0
Manchester City vs. Young Boys;Young Boys;Meschak Elia;15;cd COD;RM,CM,FW;26-093;77;0;0;0;0;0;0;0;0;14;0;0;0;0.0;0.0;0.0;0;0;6;10;60.0;0;11;2;1;0
Manchester City vs. Young Boys;Young Boys;Silvère Ganvoula M'Boussy;35;cg CGO;FW;27-138;13;0;0;0;0;0;0;0;0;6;0;0;0;0.0;0.0;0.0;0;0;5;6;83.3;0;5;2;3;2
Manchester City vs. Young Boys;Young Boys;Ulisses Garcia;21;ch SUI;LB;27-300;77;0;0;0;0;0;0;0;0;40;0;1;2;0.0;0.0;0.0;0;0;25;35;71.4;3;29;2;2;1
Manchester City vs. Young Boys;Young Boys;Noah Persson;19;se SWE;LB;20-114;13;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.0;0;0;6;9;66.7;0;7;0;0;0
Manchester City vs. Young Boys;Young Boys;Loris Benito;23;ch SUI;CB;31-304;90;0;0;0;0;0;0;1;0;55;3;3;4;0.0;0.0;0.0;0;0;40;43;93.0;0;27;0;0;0
Manchester City vs. Young Boys;Young Boys;Mohamed Aly Camara;13;gn GUI;CB;26-071;90;0;0;0;0;0;0;0;0;39;1;0;3;0.0;0.0;0.0;0;0;22;28;78.6;2;19;0;0;0
Manchester City vs. Young Boys;Young Boys;Aurele Amenda;4;ch SUI;CB;20-099;90;0;0;0;0;0;0;1;0;34;2;3;3;0.0;0.0;0.0;0;0;20;23;87.0;1;13;0;0;0
Manchester City vs. Young Boys;Young Boys;Saidy Janko;17;gm GAM;RB;28-016;65;0;0;0;0;0;0;0;0;19;1;0;1;0.0;0.0;0.0;0;0;10;16;62.5;2;13;1;0;0
Manchester City vs. Young Boys;Young Boys;Lewin Blum;27;ch SUI;DF;22-118;25;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;
Manchester City vs. Young Boys;Young Boys;Anthony Racioppi;1;ch SUI;GK;24-311;90;0;0;0;0;0;0;0;0;46;0;0;0;0.0;0.0;0.0;0;0;36;42;85.7;0;29;0;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Álvaro Morata;19;es ESP;FW;30-346;89;2;0;0;0;2;2;1;0;26;0;0;2;0.5;0.5;0.0;0;0;9;16;56.3;0;13;1;3;2
Atlético Madrid vs. Feyenoord;Atlético Madrid;Ilias Kostis;27;gr GRE;FW;20-219;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;;0;0;0;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Antoine Griezmann;7;fr FRA;FW;32-197;78;1;0;0;0;1;1;0;0;33;1;0;1;0.3;0.3;0.0;0;0;19;28;67.9;3;21;1;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Ángel Correa;10;ar ARG;FW;28-209;12;0;0;0;0;1;0;0;0;10;0;0;0;0.0;0.0;0.0;0;0;3;3;100.0;1;4;0;2;1
Atlético Madrid vs. Feyenoord;Atlético Madrid;Saúl Ñíguez;8;es ESP;CM;28-317;90;0;0;0;0;0;0;1;0;45;1;2;1;0.0;0.0;0.0;2;0;26;33;78.8;5;19;1;1;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Koke;6;es ESP;CM;31-269;90;0;0;0;0;1;0;0;0;75;0;2;0;0.0;0.0;0.0;2;0;60;67;89.6;4;51;1;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Rodrigo De Paul;5;ar ARG;CM;29-133;45;0;0;0;0;0;0;0;0;27;0;0;0;0.0;0.0;0.0;0;0;18;24;75.0;0;18;0;1;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Marcos Llorente;14;es ESP;CM,WB;28-247;45;0;0;0;0;0;0;0;0;16;0;0;1;0.0;0.0;0.0;0;0;11;12;91.7;1;10;0;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Samuel Lino;12;br BRA;WB;23-285;61;0;0;0;0;1;0;1;0;43;1;0;2;0.0;0.0;0.0;2;1;31;33;93.9;0;23;1;3;1
Atlético Madrid vs. Feyenoord;Atlético Madrid;Javi Galán;17;es ESP;WB;28-319;29;0;0;0;0;0;0;0;0;20;3;2;0;0.0;0.0;0.0;0;0;6;8;75.0;0;10;0;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Nahuel Molina;16;ar ARG;WB;25-181;78;0;1;0;0;0;0;0;0;62;4;1;0;0.0;0.0;0.3;1;1;37;52;71.2;3;35;1;1;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Rodrigo Riquelme;25;es ESP;CM;23-185;12;0;0;0;0;0;0;0;0;5;0;0;0;0.0;0.0;0.0;1;0;1;4;25.0;0;3;0;1;1
Atlético Madrid vs. Feyenoord;Atlético Madrid;Mario Hermoso;22;es ESP;CB;28-108;90;0;0;0;0;1;0;0;0;91;0;0;2;0.0;0.0;0.0;1;0;66;81;81.5;7;50;2;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Axel Witsel;20;be BEL;CB;34-265;90;0;0;0;0;0;0;0;0;77;0;1;1;0.0;0.0;0.0;0;0;68;71;95.8;3;64;0;1;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;César Azpilicueta;3;es ESP;CB;34-037;90;0;0;0;0;0;0;1;0;76;2;1;1;0.0;0.0;0.0;2;1;56;66;84.8;3;51;1;0;0
Atlético Madrid vs. Feyenoord;Atlético Madrid;Jan Oblak;13;si SVN;GK;30-270;90;0;0;0;0;0;0;0;0;30;0;0;0;0.0;0.0;0.0;0;0;20;25;80.0;0;12;0;0;0
Atlético Madrid vs. Feyenoord;Feyenoord;Ayase Ueda;9;jp JPN;FW;25-024;59;0;0;0;0;2;1;0;0;18;0;0;0;0.3;0.3;0.0;1;0;7;11;63.6;0;10;2;0;0
Atlético Madrid vs. Feyenoord;Feyenoord;Yankuba Minteh;19;gm GAM;FW;19-074;31;0;0;0;0;3;2;0;0;18;1;1;0;0.4;0.4;0.0;3;0;6;9;66.7;1;11;3;4;2
